Designator,Mid X,Mid Y,Rotation,Layer
C1,181.1384,-64.8984,90.0,top
C10,154.5306,-81.5899,180.0,top
C11,154.6146,-78.755,180.0,top
C12,157.1598,-73.4365,90.0,top
C13,162.8,-68.7,-90.0,top
C14,177.9888,-65.0,-90.0,top
C2,181.0876,-61.5964,90.0,top
C3,178.0396,-61.5964,90.0,top
C4,175.3472,-61.7866,90.0,top
C5,196.7848,-63.6284,90.0,top
C6,196.7848,-60.6312,90.0,top
C9,166.5,-85.4,180.0,top
D1,195.5,-88.475,-90.0,bottom
D10,148.9,-107.475,90.0,bottom
D11,180.837087,-78.875,135.0,bottom
D12,181.037087,-74.675,-135.0,bottom
D13,177.037087,-72.875,-90.0,bottom
D14,173.237087,-74.475,-45.0,bottom
D15,173.237087,-79.075,45.0,bottom
D16,177.037087,-77.475,90.0,bottom
D2,195.5,-93.475,-90.0,bottom
D3,199.1,-98.475,-90.0,bottom
D4,202.9,-103.475,-90.0,bottom
D5,205.1,-107.475,-90.0,bottom
D6,158.5,-88.575,90.0,bottom
D7,155.9,-93.675,90.0,bottom
D8,154.9,-98.425,90.0,bottom
D9,151.1,-103.475,90.0,bottom
J1,176.8336,-131.8112,0.0,top
J2,162.0,-129.2,90.0,top
L1,156.2962,-76.5353,0.0,top
Q1,189.515,-80.685,180.0,top
R1,175.1064,-124.3314,90.0,top
R10,154.1,-88.675,90.0,top
R11,151.5,-93.675,90.0,top
R12,150.5,-98.475,90.0,top
R13,146.7,-103.475,90.0,top
R14,146.8,-110.775,-90.0,top
R15,184.915,-80.685,0.0,top
R16,184.84,-74.31,0.0,top
R17,177.7,-69.135,0.0,top
R18,168.2,-73.4,180.0,top
R19,169.2,-80.435,180.0,top
R2,178.0756,-124.33,90.0,top
R20,171.5,-83.875,180.0,top
R21,156.3,-66.0,180.0,top
R22,193.515,-80.685,90.0,top
R3,189.7,-71.7528,-90.0,top
R9,154.5396,-84.6,0.0,top
U1,188.8092,-64.5428,180.0,top
U2,157.8306,-80.7995,90.0,top
U3,167.5498,-66.9474,0.0,top
Y1,202.5,-62.0028,-90.0,top
